variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
primary_traceable,corrected_primary_source_raw,auroc,0.5039718371487103,0.4628068981476826,0.5382428145171112,1000,1000
primary_traceable,corrected_primary_source_raw,auprc,0.34099614577249243,0.27493435585107956,0.3901844592477006,1000,1000
primary_traceable,corrected_primary_source_raw,brier,0.5205244092287068,0.449915779025049,0.5656423000288683,1000,1000
primary_traceable,corrected_primary_source_raw,calibration_intercept,-0.7915931849021928,-1.0899090717673579,-0.4957635819122435,1000,1000
primary_traceable,corrected_primary_source_raw,calibration_slope,0.0465078318252294,-0.012739304323148699,0.09711198278460186,1000,1000
primary_traceable,corrected_primary_source_raw,mean_predicted_risk,0.8262946455518408,0.6711919471037122,0.9109065040757498,1000,1000
primary_traceable,corrected_primary_source_intercept_recalibrated,auroc,0.5039718371487103,0.4628068981476826,0.5382428145171112,1000,1000
primary_traceable,corrected_primary_source_intercept_recalibrated,auprc,0.3409961457724925,0.27493435585107956,0.39018445924770057,1000,1000
primary_traceable,corrected_primary_source_intercept_recalibrated,brier,0.3943792598104712,0.35593917842453227,0.42056876346218247,1000,1000
primary_traceable,corrected_primary_source_intercept_recalibrated,calibration_intercept,-0.6251493536890372,-0.8940578194065103,-0.4313723151921334,997,1000
primary_traceable,corrected_primary_source_intercept_recalibrated,calibration_slope,0.04631167184706003,-0.014259825437879887,0.09740946566153945,997,1000
primary_traceable,corrected_primary_source_intercept_recalibrated,mean_predicted_risk,0.590467544372502,0.4026590364870579,0.6956050046788245,1000,1000
primary_traceable,corrected_primary_source_logistic_recalibrated,auroc,0.4960281628512897,0.4617571854828888,0.5371931018523174,1000,1000
primary_traceable,corrected_primary_source_logistic_recalibrated,auprc,0.33603237147927767,0.2778852589693925,0.39743077630281,1000,1000
primary_traceable,corrected_primary_source_logistic_recalibrated,brier,0.22751253067826707,0.20794868271132597,0.24226101818934798,1000,1000
primary_traceable,corrected_primary_source_logistic_recalibrated,calibration_intercept,-4.327133349507797,-8.416580280416598,0.1747106463320121,1000,1000
primary_traceable,corrected_primary_source_logistic_recalibrated,calibration_slope,-5.6747102778682414,-11.849209731304594,1.5544005970272454,1000,1000
primary_traceable,corrected_primary_source_logistic_recalibrated,mean_predicted_risk,0.34253646057665094,0.3410366594382439,0.34522424686293096,1000,1000
primary_traceable,corrected_strict_source_raw,auroc,0.5041090713816901,0.4630788658469189,0.537842934757583,1000,1000
primary_traceable,corrected_strict_source_raw,auprc,0.34070595595184044,0.27514708288495565,0.38922101198393055,1000,1000
primary_traceable,corrected_strict_source_raw,brier,0.5204650242869222,0.4499003821038491,0.565569879120958,1000,1000
primary_traceable,corrected_strict_source_raw,calibration_intercept,-0.7946795324726651,-1.0940176610355947,-0.4993022416920465,1000,1000
primary_traceable,corrected_strict_source_raw,calibration_slope,0.04753319891034406,-0.011973870049524089,0.0986994204390664,1000,1000
primary_traceable,corrected_strict_source_raw,mean_predicted_risk,0.8273023452013536,0.6730288740019491,0.9114810258740125,1000,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,auroc,0.5041090713816901,0.4630788658469189,0.537842934757583,1000,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,auprc,0.3407059559518404,0.27514708288495565,0.38922101198393055,1000,1000
